"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.881842371E1,-4.254862417E-1,4.562406957E-2,-2.045360603E-3,4.279302293E-1
1.891838071E1,-6.149222879E-1,2.140665650E-3,-1.152392650E-1,6.256309542E-1
1.901833771E1,-7.353673290E-1,-5.483518839E-3,-3.295549214E-2,7.361258330E-1
1.911829471E1,-7.099304060E-1,-1.598979592E-2,-1.401554112E-1,7.238096395E-1
1.921825171E1,-5.818266819E-1,8.195457458E-3,1.372935371E-3,5.818860182E-1
1.931820871E1,-3.479699596E-1,2.855370820E-2,-9.776661515E-2,3.625696045E-1
1.941816571E1,-9.709096938E-2,7.765687108E-2,6.296983480E-2,1.393644361E-1
1.951812271E1,2.109081915E-1,6.317916512E-2,-3.344958186E-2,2.226942897E-1
1.961807971E1,4.670812143E-1,8.222062290E-2,1.318909566E-1,4.922604148E-1
1.971803733E1,6.837134644E-1,5.665425718E-2,2.003606002E-2,6.863492187E-1
1.981799433E1,7.614358243E-1,4.474464834E-2,1.607493138E-1,7.795042912E-1
1.991795133E1,7.637974416E-1,3.192462802E-2,4.435229103E-2,7.657498544E-1
2.001790833E1,6.275016953E-1,5.957084835E-2,1.363851357E-1,6.449092718E-1
2.011786533E1,4.065399474E-1,6.106773555E-2,5.970007181E-3,4.111443033E-1
2.021782233E1,1.342015295E-1,7.223182440E-2,7.098636746E-2,1.681265932E-1
2.031777933E1,-1.505459225E-1,5.840198994E-2,-5.170809746E-2,1.695541051E-1
2.041773633E1,-4.289698666E-1,5.573799849E-2,-8.189610243E-3,4.326533724E-1
2.051769333E1,-6.198666935E-1,1.621140540E-2,-9.151184857E-2,6.267949791E-1
2.061765033E1,-7.288435174E-1,-1.714052796E-2,-5.743894438E-2,7.313042478E-1
2.071760708E1,-6.980264251E-1,-2.031088829E-2,-7.950225234E-2,7.028328610E-1
2.081756408E1,-5.651871872E-1,9.107038379E-3,-5.551521957E-2,5.679801355E-1
2.091752108E1,-3.557519093E-1,2.940974057E-2,-2.978513638E-2,3.582059578E-1
2.101747708E1,-6.919214020E-2,5.964978576E-2,-1.087114334E-2,9.199908132E-2
2.111743408E1,2.131352132E-1,9.071136475E-2,4.229056736E-2,2.354647806E-1
2.121739208E1,4.881150377E-1,7.317907333E-2,3.303092122E-2,4.946741438E-1
2.131734808E1,6.783859932E-1,5.193906248E-2,1.165852940E-1,6.902878767E-1
2.141730508E1,7.830247678E-1,3.876002312E-2,6.838435650E-2,7.869603208E-1
2.151726208E1,7.413724194E-1,4.281682134E-2,1.416827222E-1,7.560028692E-1
2.161721908E1,6.234380997E-1,4.182337940E-2,3.484238863E-2,6.258100760E-1
2.171717608E1,3.864223827E-1,6.732367158E-2,1.062672973E-1,4.063834065E-1
2.181713308E1,1.303110115E-1,8.327370644E-2,-3.040903201E-2,1.576076747E-1
2.191709008E1,-1.704625623E-1,6.901527107E-2,4.042706430E-2,1.882948228E-1
2.201704708E1,-4.323219292E-1,3.201584458E-2,-9.320110917E-2,4.434114472E-1
